experiment_version,model_name,run,component,tp,fp,tn,fn,precision,recall,f1_score,f2_score,accuracy_score
CI-RFS-G5.2,gemini-3-flash-preview,Voting,NEED,51,115,2109,5,0.3072289157,0.9107142857,0.4594594595,0.6538461538,0.9473684211
CI-RFS-G5.2,gemini-3-flash-preview,Voting,ALTERNATIVES,7,36,2234,3,0.1627906977,0.7,0.2641509434,0.421686747,0.9828947368
CI-RFS-G5.2,gemini-3-flash-preview,Voting,Total,164,228,6436,12,41.84%,93.18%,57.75%,74.82%,96.49%
CI-RFS-G5.2,gemini-3-flash-preview,Average,Total,165,246,6418,11,0.4022598205,0.9375,0.5627047682,0.7404531012,0.9624269006
CI-RFS-G3F,o4-mini,0,GOAL,97,28,2142,13,0.776,0.8818181818,0.8255319149,0.8584070796,0.9820175439
CI-RFS-G3F,o4-mini,0,NEED,48,68,2156,8,0.4137931034,0.8571428571,0.5581395349,0.7058823529,0.9666666667
CI-RFS-G3F,o4-mini,0,ALTERNATIVES,7,25,2245,3,0.21875,0.7,0.3333333333,0.4861111111,0.9877192982
CI-RFS-G3F,o4-mini,0,Total,152,121,6543,24,0.5567765568,0.8636363636,0.6770601336,0.7778915046,0.9788011696
CI-RFS-G3F,o4-mini,1,GOAL,101,26,2144,9,0.7952755906,0.9181818182,0.8523206751,0.8906525573,0.9846491228
CI-RFS-G3F,o4-mini,1,NEED,47,72,2152,9,0.3949579832,0.8392857143,0.5371428571,0.6851311953,0.9644736842
CI-RFS-G3F,o4-mini,1,ALTERNATIVES,7,32,2238,3,0.1794871795,0.7,0.2857142857,0.4430379747,0.9846491228
CI-RFS-G3F,o4-mini,1,Total,155,130,6534,21,0.5438596491,0.8806818182,0.6724511931,0.783619818,0.9779239766
CI-RFS-G3F,o4-mini,2,GOAL,100,23,2147,10,0.8130081301,0.9090909091,0.8583690987,0.8880994671,0.9855263158
CI-RFS-G3F,o4-mini,2,NEED,43,71,2153,13,0.3771929825,0.7678571429,0.5058823529,0.6360946746,0.9631578947
CI-RFS-G3F,o4-mini,2,ALTERNATIVES,8,40,2230,2,0.1666666667,0.8,0.275862069,0.4545454545,0.9815789474
CI-RFS-G3F,o4-mini,2,Total,151,134,6530,25,0.5298245614,0.8579545455,0.6550976139,0.7633973711,0.976754386
CI-RFS-G3F,o4-mini,Voting,GOAL,101,23,2147,9,0.814516129,0.9181818182,0.8632478632,0.8953900709,0.9859649123
CI-RFS-G3F,o4-mini,Voting,NEED,47,69,2155,9,0.4051724138,0.8392857143,0.5465116279,0.6911764706,0.9657894737
CI-RFS-G3F,o4-mini,Voting,ALTERNATIVES,8,30,2240,2,0.2105263158,0.8,0.3333333333,0.5128205128,0.9859649123
CI-RFS-G3F,gpt-5.2,Voting,Total,166,241,6423,10,40.79%,94.32%,56.95%,74.71%,96.33%
CI-RFS-G3F,o4-mini,Average,Total,152.6666667,128.3333333,6535.666667,23.33333333,0.5434869224,0.8674242424,0.6682029802,0.7750346595,0.9778265107
CI-RFS-G3F,gpt-5.2,0,GOAL,108,88,2082,2,0.5510204082,0.9818181818,0.7058823529,0.8490566038,0.9605263158
CI-RFS-G3F,gpt-5.2,0,NEED,51,138,2086,5,0.2698412698,0.9107142857,0.4163265306,0.617433414,0.9372807018
CI-RFS-G3F,gpt-5.2,0,ALTERNATIVES,5,26,2244,5,0.1612903226,0.5,0.243902439,0.3521126761,0.9864035088
CI-RFS-G3F,gpt-5.2,0,Total,164,252,6412,12,0.3942307692,0.9318181818,0.5540540541,0.7321428571,0.9614035088
CI-RFS-G3F,gpt-5.2,1,GOAL,108,93,2077,2,0.5373134328,0.9818181818,0.6945337621,0.8424336973,0.9583333333
CI-RFS-G3F,gpt-5.2,1,NEED,52,134,2090,4,0.2795698925,0.9285714286,0.4297520661,0.6341463415,0.9394736842
